,Cas,Drug,SMILES
132,601514-19-6,Tws119,C1=CC(=CC(=C1)N)C2=CC3=C(N2)N=CN=C3OC4=CC=CC(=C4)O
133,443798-55-8,Cdk1/2 Inhibitor III,C1=CC(=C(C(=C1)F)NC(=S)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F
134,152121-47-6,Sb-203580,CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F
135,154447-38-8,LY 303511,C1CN(CCN1)C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4
136,244148-46-7,Isogranulatimide,C1=CC=C2C(=C1)C3=C4C(=C(NC4=O)O)C5=CN=CN5C3=N2
137,54642-23-8,"JNK Inhibitor II, Negative Control",CN1C2=CC=CC3=C2C(=N1)C4=CC=CC=C4C3=O
138,167869-21-8,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
139,72873-74-6,"6-(4-Fluorophenyl)-2,3-dihydro-5-(4-pyridinyl)imidazo(2,1-b)thiazole",C1CSC2=NC(=C(N21)C3=CC=NC=C3)C4=CC=C(C=C4)F
140,186611-52-9,IC261,COC1=CC(=C(C(=C1)OC)/C=C/2\C3=CC=CC=C3NC2=O)OC
141,639089-54-6,Tozasertib,CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C
142,179248-61-4,EGFR/ErbB-2 inhibitor,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)OCC4=CC=CC=C4)OC
143,265312-55-8,Ryuvidine,CC1=CC=C(C=C1)NC2=CC(=O)C3=C(C2=O)N=C(S3)C
144,220792-57-4,aminopurvalanol A,CC(C)[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NC3=CC(=CC(=C3)N)Cl
145,371935-74-9,"3-(4-(4-Morpholinyl)pyrido(3',2':4,5)furo(3,2-d)pyrimidin-2-yl)phenol",C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O
146,667463-62-9,6-Bromoindirubin-3'-oxime,C1=CC=C2C(=C1)C(=C(N2)C3=C(NC4=C3C=CC(=C4)Br)O)N=O
147,852045-46-6,Flt-3 Inhibitor III,C1CCN(C1)CCOC2=CC=C(C=C2)NC3=NC=C(S3)C4=CC=CC=C4
148,546102-60-7,Cdk4 Inhibitor,C1=CC=C2C(=C1)C3=C4C(=C5C6=C(C=C(C=C6)Br)NC5=C3N2)C(=O)NC4=O
149,211555-04-3,Whi-P154,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)O)Br)OC
150,212779-48-1,2-({6-[(3-Chlorophenyl)amino]-9-isopropyl-9H-purin-2-yl}amino)ethanol,CC(C)N1C=NC2=C(N=C(N=C21)NCCO)NC3=CC(=CC=C3)Cl
