,compound,gene,db,ctd,SMILES,n_db
4344,5-hydroxythalidomide,ATP5ME,False,True,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)O,1
4345,5-hydroxythalidomide,BDH1,False,True,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)O,1
4346,5-hydroxythalidomide,CA3,False,True,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)O,1
4347,5-hydroxythalidomide,COX6A1,False,True,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)O,1
4348,5-hydroxythalidomide,COX6B1,False,True,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)O,1
4349,5-hydroxythalidomide,ENO1,False,True,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)O,1
4350,5-hydroxythalidomide,FABP1,False,True,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)O,1
4351,5-hydroxythalidomide,FTL,False,True,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)O,1
4352,5-hydroxythalidomide,GSTA1,False,True,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)O,1
4353,5-hydroxythalidomide,GSTM1,False,True,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)O,1
4354,5-hydroxythalidomide,PEBP1,False,True,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)O,1
4355,5-hydroxythalidomide,RGN,False,True,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)O,1
4356,5-hydroxythalidomide,UQCRB,False,True,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)O,1
4357,5-hydroxyvalericAcid,ALAD,True,False,OCCCCC(O)=O,1
4358,5-imino-4-(2-trifluoromethyl-phenylazo)-5h-pyrazol-3-ylamine,MAP,True,False,FC(F)(F)C1=CC=CC=C1NN=C1C(=N)N=NC1=N,1
4359,5-imino-4-(3-trifluoromethyl-phenylazo)-5h-pyrazol-3-ylamine,MAP,True,False,FC(F)(F)C1=CC(NN=C2C(=N)N=NC2=N)=CC=C1,1
4360,5-iodotubercidin,CSNK1G2,True,False,[H][C@]1(CO)O[C@@]([H])(N2C=C(I)C3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O,1
4361,5-iodotubercidin,HASPIN,True,False,[H][C@]1(CO)O[C@@]([H])(N2C=C(I)C3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O,1
4362,5-iodotubercidin,MAPK3,True,False,[H][C@]1(CO)O[C@@]([H])(N2C=C(I)C3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O,1
4363,5-iodouracil,DPYD,True,False,IC1=CNC(=O)NC1=O,1
4364,5-mercapto-2-nitro-benzoicAcid,ARSC,True,False,OC(=O)C1=CC(S)=CC=C1[N+]([O-])=O,1
4365,5-mercapto-2-nitro-benzoicAcid,IL12B,True,False,OC(=O)C1=CC(S)=CC=C1[N+]([O-])=O,1
4366,5-mercaptoethanol-2-decenoyl-coenzymeA,FADH,True,False,CCCCC[C@@H](C\C=C\C(=O)SCCNC(=O)CCN[C@H](O)C(=O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)[N+]1=CNC2=C(N)N=CN=C12)SCC=O,1
4367,"5-methoxy-1,2-dimethyl-3-(phenoxymethyl)indole-4,7-dione",NQO1,True,False,COC1=CC(=O)C2=C(C(COC3=CC=CC=C3)=C(C)N2C)C1=O,1
4368,5-methoxy-1-methyl-2-(n-propylamino)tetralin,DRD2,False,True,CCCN[C@@H]1CCC2=C([C@@H]1C)C=CC=C2OC,1
4369,5-methoxy-1-methyl-2-(n-propylamino)tetralin,DRD3,False,True,CCCN[C@@H]1CCC2=C([C@@H]1C)C=CC=C2OC,1
4370,"5-methoxy-n,n-dimethyltryptamine",HTR1A,True,False,COC1=CC=C2NC=C(CCN(C)C)C2=C1,1
4371,"5-methoxy-n,n-dimethyltryptamine",HTR2A,True,False,COC1=CC=C2NC=C(CCN(C)C)C2=C1,1
4372,5-methoxybenzimidazole,COBT,True,False,COC1=CC2=C(C=C1)N=CN2,1
4373,5-methoxytryptamine,CYP2D6,False,True,COC1=CC2=C(C=C1)NC=C2CCN,1
4374,5-methoxytryptamine,HTR7,False,True,COC1=CC2=C(C=C1)NC=C2CCN,1
4375,"5-methyl-1,10-phenanthroline",AHR,False,True,CC1=CC2=C(C3=C1C=CC=N3)N=CC=C2,1
4376,"5-methyl-1,10-phenanthroline",CYP1A1,False,True,CC1=CC2=C(C3=C1C=CC=N3)N=CC=C2,1
4377,5-methyl-2'-deoxypseudouridine,NTD,True,False,CN1C=C([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,1
4378,5-methyl-2-[(phenylsulfonyl)amino]benzoicAcid,METAP2,True,False,CC1=CC=C(NS(=O)(=O)C2=CC=CC=C2)C(=C1)C(O)=O,1
4379,"5-methyl-3-(9-oxo-1,8-diaza-tricyclo[10.6.1.013,18]nonadeca-12(19),13,15,17-tetraen-10-ylcarbamoyl)-hexanoicAcid",MMP7,True,False,[H][C@@](CC(C)C)(CC(O)=O)C(=O)N[C@@]1([H])CC2=CN(CCCCCCNC1=O)C1=C2C=CC=C1,1
4380,"5-methyl-5-(4-phenoxy-phenyl)-pyrimidine-2,4,6-trione",MMP3,True,False,CC1(C(=O)NC(=O)NC1=O)C1=CC=C(OC2=CC=CC=C2)C=C1,1
4381,"5-methyl-6-phenylquinazoline-2,4-diamine",ACCC,True,False,CC1=C(C=CC2=NC(N)=NC(N)=C12)C1=CC=CC=C1,1
4382,"5-methyl-n-[4-(trifluoromethyl)phenyl][1,2,4]triazolo[1,5-a]pyrimidin-7-amine",DHODH,True,False,CC1=NC2=NC=NN2C(NC2=CC=C(C=C2)C(F)(F)F)=C1,1
4383,5-methylbenzimidazole,COBT,True,False,CC1=CC2=C(C=C1)N=CN2,1
4384,5-methylfurtrethonium,CHRM1,False,True,CC1=CC=C(O1)C[N+](C)(C)C,1
