,DrugBank ID,Name,Type,UniProt ID,UniProt Name,SMILES
267,DB00110,Palivizumab,BiotechDrug,P02746,Complement C1q subcomponent subunit B,
268,DB00110,Palivizumab,BiotechDrug,P02747,Complement C1q subcomponent subunit C,
269,DB00110,Palivizumab,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,
270,DB00110,Palivizumab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,
271,DB00111,Daclizumab,BiotechDrug,P01589,Interleukin-2 receptor subunit alpha,
272,DB00111,Daclizumab,BiotechDrug,P14784,Interleukin-2 receptor subunit beta,
273,DB00111,Daclizumab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,
274,DB00111,Daclizumab,BiotechDrug,P00736,Complement C1r subcomponent,
275,DB00111,Daclizumab,BiotechDrug,P02745,Complement C1q subcomponent subunit A,
276,DB00111,Daclizumab,BiotechDrug,P02746,Complement C1q subcomponent subunit B,
277,DB00111,Daclizumab,BiotechDrug,P02747,Complement C1q subcomponent subunit C,
278,DB00111,Daclizumab,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,
279,DB00111,Daclizumab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I,
280,DB00111,Daclizumab,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,
281,DB00111,Daclizumab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,
282,DB00111,Daclizumab,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,
283,DB00112,Bevacizumab,BiotechDrug,P15692,Vascular endothelial growth factor A,
284,DB00112,Bevacizumab,BiotechDrug,P02745,Complement C1q subcomponent subunit A,
285,DB00112,Bevacizumab,BiotechDrug,P02746,Complement C1q subcomponent subunit B,
286,DB00112,Bevacizumab,BiotechDrug,P02747,Complement C1q subcomponent subunit C,
287,DB00112,Bevacizumab,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,
288,DB00112,Bevacizumab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I,
289,DB00112,Bevacizumab,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,
290,DB00112,Bevacizumab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,
291,DB00112,Bevacizumab,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,
292,DB00113,Technetium Tc-99m arcitumomab,BiotechDrug,P13688,Carcinoembryonic antigen-related cell adhesion molecule 1,
293,DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q9BYV1,"Alanine--glyoxylate aminotransferase 2, mitochondrial",CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
294,DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q99259,Glutamate decarboxylase 1,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
295,DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P35520,Cystathionine beta-synthase,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
296,DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q16719,Kynureninase,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
297,DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P34896,"Serine hydroxymethyltransferase, cytosolic",CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
298,DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q9Y697,"Cysteine desulfurase, mitochondrial",CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
299,DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P17174,"Aspartate aminotransferase, cytoplasmic",CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
300,DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P04181,"Ornithine aminotransferase, mitochondrial",CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
301,DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P11926,Ornithine decarboxylase,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
302,DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q8N5Z0,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
303,DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P80404,"4-aminobutyrate aminotransferase, mitochondrial",CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
304,DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q9NVS9,Pyridoxine-5'-phosphate oxidase,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
305,DB00114,Pyridoxal phosphate,SmallMoleculeDrug,O95470,Sphingosine-1-phosphate lyase 1,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
306,DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P17735,Tyrosine aminotransferase,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
307,DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q16773,Kynurenine--oxoglutarate transaminase 1,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
308,DB00114,Pyridoxal phosphate,SmallMoleculeDrug,O15270,Serine palmitoyltransferase 2,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
